Temperature (K),Energy (J)
99.89724226,2.71164
290,79.99338
200.9105955,4.06746
252.0669691,24.40476
,
269.0602887,9.49074
274.7273548,79.99338
269.0602887,71.85846
261.7703993,81.3492
252.0580103,10.84656
256.2868241,6.7791
260.0484021,12.20238
261.7703993,13.5582
261.7703993,94.9074
261.7703993,8.13492
298,77.28174
103.9953756,2.71164
252.0580103,84.06084
247.3094115,25.76058
247.3094115,58.30026
236.0426622,39.31878
236.0426622,17.62566
222.0661826,31.18386
241.9884785,50.16534
252.0580103,35.25132
184.3024581,6.7791
256.2868241,47.4537
260.0484021,21.69312
247.3094115,24.40476
159.6744259,6.7791